TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,PAYMENT_NUM,STORE_NM,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e002253,2306030002,2,0,4,주식회사 루덴스,1,26.0,망고 요거트 스무디;딸기 요거트 스무디;아메리카노(ICE)
e_e000406,2305210001,3,0,3,주식회사 지마켓,1,52.0,동두천 놀자숲 어드벤처
e_e010773,2308270009,1,0,1,주식회사아르디움,1,7.0,ICE 플랫화이트 
e_e000561,2305210005,1,0,1,지유명차 송도점,3,12.0,
e_e000594,2305280003,6,4,2,철이네,5,22.0,
e_e007482,2308200006,1,0,2,카페동네,1,9.9,I.아메리카노;로투스쿠키
e_e007430,2308190004,1,0,1,카페코너574,1,5.5,
e_e010921,2308260002,1,0,2,컨텍스트카페,1,45.0,버섯 리조또;에그 베네틱트;ice_자몽 베리 에이드;ice_초코라떼
e_e001427,2306100004,3,0,3,킨더북카페,1,45.0,1회 이용권
e_e001990,2306030002,1,0,1,트레이더스 홀세일 클럽,1,3.0,소프트아이스크림
e_e000664,2306050002,3,1,3,파주시청(공릉관광지),1,6.5,입장권;주차비
e_e003400,2306300004,3,2,2,포천아트밸리,1,11.0,입장권
e_e003808,2306260004,1,0,2,플레이보6라이트,1,20.0,모닥치기
e_e002222,2306040003,3,1,4,현대모터스튜디오,1,12.0,입장권
e_e003724,2306300003,2,0,2,현대프리미엄아울렛 SPACE1,1,44.0,에잇세컨즈
e_e000396,2305200002,3,0,2,,3,36.0,레일바이크 이용권
e_e003549,2306180003,3,2,3,,3,30.0,축구경기 참가비
e_e003830,2307010004,3,0,2,(재)세미원,1,8.0,입장권 
e_e005945,2308140001,3,0,2,(주)강촌레일파크,1,36.0,가평역 
e_e000536,2305210001,2,0,1,(주)경방,1,22.0,란체티 남성복긴팔셔츠
e_e000362,2305150002,1,0,2,(주)글램비글램핑,1,22.0,숯그릴
e_e000546,2305260002,1,0,1,(주)사마르칸트,1,20.0,
e_e002202,2306030001,1,0,2,(주)코스트코 코리아,1,16.0,칼조네;아이스아메리카노;라떼 커피
e_e004511,2307200007,1,0,2,24시전주명가 콩나물국밥 진접점,3,16.0,
e_e004349,2307290001,1,0,2,BIRD THE CAFE,1,22.0,망고빙수
e_e000407,2305270003,1,0,5,BOO,1,12.0,블루베리;초코바닐라
e_e000856,2305240007,1,2,2,CU,1,16.0,블루레몬에이드;매운새우깡;봉지얼음
e_e003001,2306170002,3,1,2,네이버파이낸셜,1,10.0,(2023서울국제도서전)성인/청소년 티켓 입장권
e_e011903,2308270003,1,2,1,롯데몰,1,15.0,(ICE)카페라떼
e_e001164,2305270002,2,1,2,마일스톤 (milestone),1,6.0,Almond latte
e_e000347,2305290001,1,0,1,빠레뜨한남,1,42.0,빠레뜨파스타;통다리 로제 리조또;핑크오렌지;자몽망고 에이드
e_e002097,2306030004,3,0,2,수원시립미술관,1,8.0,관람권
e_e010248,2308310007,1,4,1,오레오츄러스(1층3루),1,5.0,아+츄 
e_e007207,2308250007,2,0,2,오브뉴,1,11.0,[드로잉페이퍼]카드;[오브뉴]오브뉴제품
e_e000360,2305290002,3,0,2,율봄농업예술원,1,10.0,입장권
e_e000803,2305210006,3,0,4,주식회사 광명에디슨뮤지엄,1,9.0,입장권
e_e004291,2307080005,1,1,2,주식회사 어반네이처,1,21.0,아메리카노;카페라떼;(1인)사료+초콜릿 머핀
e_e006588,2308110002,3,0,2,주식회사인터파크트리플,1,10.0,한국만화박물관 입장권 
e_e006876,2308130005,2,1,2,츄플러스,1,5.0,오리지널 츄아
e_e001045,2306050001,3,2,1,프랑스 국립현대미술관,3,20.0,관람권
e_e001026,2306040003,3,0,2,화담숲,1,18.0,입장권
e_e000006,2304300005,1,0,2,베이커리시어터,1,6.5,
e_e000006,2304300006,2,2,2,백암천,1,16.0,
e_e000006,2304300006,1,3,2,백암천,3,3.0,
e_e000006,2304300007,1,0,2,청평쭈꾸미자시오,1,33.0,잣쭈꾸미(1인)
e_e000009,2304290002,1,4,2,카페그리닝비전점,1,17.9,타코 치킨
e_e000009,2304290003,2,0,2,H&M 안성스타필드점,1,66.24,
e_e000009,2304290004,1,0,2,대동국수 평택역점,3,56.0,고추고갈비;멸치국수;진로이즈백;콜라
e_e000009,2304290005,1,0,2,편지,1,41.0,
e_e000009,2304290007,6,1,2,주식회사 야놀자,1,75.0,평택 프라하
e_e000009,2304300002,1,0,2,샤오바오우육면(고덕점),1,32.0,우육면-기본면;꿔바로우-중;우육면(맑은탕)-기본면
e_e000009,2304300004,2,0,2,평택로컬푸드 오성점,1,8.0,땅두릅
e_e000009,2304300005,1,0,2,라스베이글,1,10.2,"I 바닐라, 카라멜라떼_흑"
e_e000009,2304300005,1,1,2,할리스 커피 시흥하늘휴게소,1,13.0,찰보리빵
e_e000010,2304290007,1,0,1,스탠다드,1,6.0,ICE바닐라빈라테;-UP
e_e000010,2304290008,1,0,1,연신내칼국수,1,24.0,
e_e000010,2304290008,1,1,1,서울중앙시장,5,2.5,
e_e000010,2304290009,1,2,1,독립문역점,1,13.7,G)ICED바닐라딜라이트;에스프레소샷 추가;R)ICED바닐라딜라이트;에스프레소샷 추가
e_e000010,2304300001,3,2,1,(주)인터파크,1,160.0,관람권
e_e000010,2304300001,1,4,1,폴바셋(엠즈씨드 주식회사)롯데 잠실점,3,3.96,폴바셋 커피음료
e_e000010,2304300002,1,0,1,(주)호텔롯데 롯데월드,1,46.0,밀빛)밀빛초계국수
e_e000010,2304300003,3,0,1,(주)인터파크,1,160.0,
e_e000010,2304300003,1,1,1,엔제리너스 잠실샤롯데점,1,5.0,I아메리카R
e_e000011,2304290001,1,2,4,태극당 인사동,1,16.2,통팥빵;찹쌀떡빵;슈크림빵;오란다 오리지날;태극당 모나카
e_e000011,2304290002,1,1,4,꽃 밥에 피다,1,127.0,
e_e000011,2304290004,2,0,4,UNIQLO,1,199.5,워셔블코튼V넥스웨터;AIRISM브라캐미솔;엑스트라화인메리노크루넥스웨터;울트라스트레치AIRISM원피스;AIRISM캐미솔;울트라스트레치AIRISM폴로원피스
e_e000011,2304290005,1,0,4,이층집,1,301.5,통삼겹;카스;참이슬;가브리살;사이다;항정살;볶음밥한판;물냉면(후식)
e_e000011,2304300002,1,0,4,(주)동원홈푸드 라운지디 국립현대미술관,1,18.9,아메리카노;카페라떼;핫티-자몽
e_e000011,2304300002,1,0,4,(주)동원홈푸드 라운지디 국립현대미술관,1,59.1,오늘의스프;샐러드-모짜렐라;리조또-치킨;파스타-빼쉐;피자-모듬야채모짜렐라
e_e000011,2304300003,1,2,4,StoryWay,1,7.0,CJ)맛밤;광동)유자쌍화병;코카)씨그램라임;감동)감동란
e_e000011,2304300004,2,0,4,삼진식품(주) 라마다점,1,35.1,어묵탕모듬플러스;통새우말이;한입어묵(순한);새우가득프리미엄어묵;해물찌짐이
e_e000013,2304280002,1,0,4,공주밤빵,3,5.0,
e_e000013,2304280003,2,0,4,파주 프리미엄 아울렛,1,114.5,DISCOVERY
e_e000013,2304280003,1,1,4,하코야 파주 신세계프리미엄 아울렛점,1,34.0,돌솥 알새우밥;등심돈까스정식;매콤 소보루 라멘
e_e000013,2304280003,1,2,4,미니멜츠,1,9.0,
e_e000013,2304280003,2,3,4,(주)씨제이이엔엠,1,98.0,style on air
e_e000013,2304280004,2,0,4,이마트 파주점,3,129.82,고르곤졸라소프트콘;오리온대왕오감자;뿌리또테이크아웃컵;허니버터감자칩;농심꿀꽈배기
e_e000013,2304290001,2,0,4,이케아코리아 광명점,1,6.9,훌타르프 후크
e_e000013,2304290002,1,0,4,인유얼커피,1,17.0,(I)연유라떼;바닐라라떼;흑임자크림라떼(0
e_e000014,2305010002,1,0,3,삼성물산(주) 에버랜드리조트,1,41.0,그릴소시지&BBQ;에딩거우르바이스;에딩거둔켈
e_e000014,2305010002,2,1,3,삼성물산(주) 에버랜드리조트,1,30.0,"유니콘인형2;토끼,플라워,헤어밴드"
e_e000014,2305010002,3,2,3,에버랜드,1,118.0,
e_e000015,2304280002,1,0,2,모박사부대찌게,1,47.0,불고기정식 2인;제육덮밥;공기밥
e_e000015,2304280002,3,3,2,ANDROID-코엑스,3,48.0,영화 관람권
e_e000015,2304280004,1,0,2,정안(상)휴게소,1,4.5,불갈비맛소세지
e_e000015,2304280004,1,0,2,키다리식품(주) 정안(서울방향)휴게소,1,3.5,아이스브레이커스(버리)
e_e000015,2304290001,1,0,2,아차산김가네맛집,1,25.0,두부김치전골(소);메밀전병;공기밥
e_e000015,2304290003,1,0,2,스타벅스,1,13.5,DCF돌체라떼;딸기요거트
e_e000015,2304300001,1,0,2,명륜진사갈비 중곡점,1,56.7,성인무한리필;된장찌개
e_e000015,2304300002,6,0,2,엔젤코인노래연습장(건대점),1,3.0,
e_e000015,2304300003,6,1,2,코지엠 Fun City,3,6.0,
e_e000015,2304300004,3,0,2,엑스크라임,1,80.0,
e_e000015,2304300005,1,0,2,아웃닭건대점,1,55.8,순살후라이드;튀김모듬
e_e000015,2304300006,1,0,2,서피동파,1,62.0,
e_e000015,2304300007,6,0,2,에코코인노래연습장,3,4.0,
e_e000015,2305010002,1,0,2,합정옥,1,24.0,
e_e000015,2305010003,1,0,2,,1,13.0,
e_e000015,2305010004,1,1,2,북촌 아이스크림,1,2.4,더블비얀코;빵빠레 초코
e_e000015,2305010007,1,0,2,앤티앤스,1,5.2,
e_e000016,2304290002,1,0,1,현대프리미엄 아울렛,1,5.3,에그타르트;비스켓 슈
e_e000016,2304290002,1,0,1,한무쇼핑(주)김포점,1,6.0,바닐라라떼(COLD)
e_e000016,2304290002,2,1,1,현대프리미엄아울렛,1,99.92,언더아머(코리아)
e_e000016,2304290003,2,0,1,롯데쇼핑(주) 롯데마트 ,1,24.08,팔도 비빔면;트리벨리 파프리카;광어 물회;오이맛 고추
e_e000018,2304290003,1,0,3,미소야 일산화정점,1,34.0,냉모밀;사누끼우동돈카츠정식;로스카츠;미니우동
e_e000018,2304290003,1,0,3,미소야 일산화정점,1,14.5,카츠모밀알밥정식;미니우동
e_e000018,2304290004,3,0,3,고양어린이박물관,1,10.0,관람권
e_e000020,2304290002,1,0,1,(주)본가신숙희진골막국수,1,47.0,편육(소);막국수(곱)
e_e000020,2304290003,2,0,1,정원가게(Gardenshop),1,14.0,Breathe Better EA
e_e000020,2304290003,2,3,1,가평양떼목장,1,15.0,건초구매
e_e000020,2304290004,1,0,1,나무아래오후 2호점,1,23.3,퍼지 브라우니;플랫화이트;오지 카푸치노
e_e000020,2304290006,2,0,1,가평군농협하나로마트 설악점,1,11.35,농협 우리샘물수;팔도왕뚜껑;새우탕큰사발;가평잣생막걸리;황토방전기구이
e_e000020,2304300001,1,0,1,연청국장,1,19.0,
e_e000020,2304300002,3,0,1,가평양떼목장,3,15.0,입장권 건초체험-1인권
e_e000020,2304300004,1,0,1,카페아우라,1,22.0,시오 앙버터;밀크티;아메리카노
e_e000021,2304290002,1,1,2,남도사골순대국,1,33.0,
e_e000021,2304290003,1,0,2,스타벅스,1,16.8,얼 그레이 케이크;G)바질 레몬 B;자일리톨 캔디 레몬
e_e000021,2304290005,1,0,2,,1,0.0,
e_e000021,2304290006,6,1,2,쭌코인노래연습장,3,3.0,
e_e000021,2304300001,1,0,2,머슴고기,1,49.0,
e_e000021,2304300002,1,0,2,티카페차희,1,18.3,레드히비소다;모과;초코프레첼
e_e000022,2304290002,1,0,2,향유,1,91.0,
e_e000022,2304290002,1,0,2,향유,3,91.0,이동갈비;물냉면;된장찌개;공기밥
e_e000022,2304290003,3,0,2,허브아일랜드,1,18.0,대인 입장권
e_e000023,2304290002,3,2,3,쿨룩,1,0.0,
e_e000023,2304290003,1,0,3,(주)나주소나주곰탕,1,27.0,
e_e000023,2304290005,1,0,3,스타벅스,3,16.3,G)망고바나나B;G)카페라떼;생크림카스텔라
e_e000023,2304290006,3,0,3,경복궁,3,6.0,
e_e000025,2304300003,1,0,3,꼬꼬오리주물럭,1,38.0,
e_e000025,2304300004,1,0,3,왕가탕후루 김포라베니체점,1,6.0,딸기;애플포도
e_e000025,2304300005,1,0,3,(주)엘컴즈 포지티브스페이스566,1,21.6,(ICE)아메리카노;(ICE)초코라떼
e_e000037,2304300003,1,0,1,오서방네조개찜,1,42.0,공깃밥;모둠조개(소);샤브샤브
e_e000037,2304300004,1,0,1,카페가우디,1,10.0,생크림 소금빵;아메리카노 ICE;우유
e_e000038,2304280002,1,0,2,가인,1,12.0,아메리카노 벤티;핑크 엘더 플라워;쿠키
e_e000038,2304280003,1,0,2,동백정,1,26.0,
e_e000038,2304280009,1,0,2,GS25 ,1,22.4,라벨인절미빙수;몬스터크랩;기린이치방;하이네켄캔;클라우드캔
e_e000038,2304290002,3,1,2,닥터스킨코리아,1,20.0,남성대인;여성대인
e_e000038,2304290003,1,0,2,한우강국,1,24.0,갈비탕;육회비빔밥
e_e000038,2304290004,1,0,2,더포레 카페,1,32.1,아아 ice아메리카;꽃소금라떼ice;크림치즈 타르트;밤빵.고구마빵
e_e000038,2304290005,2,0,2,주식회사 엠에이치엔코 모던 HDC아이파크몰(주),1,48.1,모던하우스 생활용품
e_e000039,2304290003,1,0,2,서울하이패스센터쉼터,1,7.5,떡라면;부산오뎅(2꼬치)
e_e000039,2304290004,3,1,2,에버랜드,4,83.0,자유이용권
e_e000039,2304290009,1,0,2,(RED)포메인레드에버랜드점,1,26.0,포메인 쌀국수(S);포메인 쌀국수(L)
e_e000040,2304280004,1,0,2,형제네,1,46.0,
e_e000040,2304280006,1,0,2,효자손만두,1,8.0,
e_e000040,2304290002,1,0,2,폴 바셋,1,10.4,I카페라떼 S;아메리카노 S
e_e000041,2304290001,1,0,2,양평해장국,1,20.0,해장국(선지X)
e_e000041,2304290002,1,0,2,커피에반하다 수원시청역점,1,7.0,아이스 아메리카노
e_e000041,2304290003,1,0,2,장안면옥,1,41.0,
e_e000041,2304290004,1,0,2,유토피아추모관(카페),1,7.0,
e_e000041,2304290005,1,0,2,엄니 추어탕,1,25.0,
e_e000041,2304290006,6,1,2,쌍용폐계닭,1,23.0,
e_e000041,2304300001,1,0,2,해장촌,1,18.0,
e_e000041,2304300002,1,0,2,바링고빈스,1,9.0,아메리카노(ICE)
e_e000041,2304300003,3,1,2,융릉.건릉,1,2.0,관람권
e_e000041,2304300004,1,0,2,떡장(곡반정점),1,11.5,오뎅(4꼬치);뚱뚱이김밥;순대
e_e000042,2305010004,6,2,2,휠프렌즈,1,35.0,
e_e000042,2305010005,1,0,2,이솔라식당,1,37.0,
e_e000045,2304290003,2,0,2,장흥농협 하나로마트  송추점,1,23.57,닭고기;서울장수막걸리(국내산);전통한방삼계탕약초재료;부산어묵사각;양파
e_e000045,2304300001,1,0,2,대궐애견카페,1,6.0,
e_e000045,2304300002,3,0,2,파주도시관광공사,1,2.0,주차비
e_e000045,2304300002,1,1,2,마장호수1층카페,1,8.5,마늘빵
e_e000046,2304280004,1,0,4,유진레저_푸른솔GC포천,1,180.3,
e_e000293,2305280002,2,1,1,CU,1,2.7,바리스타에스프
e_e000293,2305280005,2,0,1,하트약국,1,3.0,
e_e000293,2305280005,3,1,1,주식회사 네오,1,53.9,관람권
e_e000293,2305280005,2,2,1,세븐일레븐,1,2.5,칠성)아이시스에코;롯데)더커진참치마요삼각
e_e000293,2305280006,1,0,1,대학로점,1,38.0,금계찜닭(순살);계란밥;공기밥;콜라
e_e000293,2305280007,3,0,1,"(주)오차드씨앤씨, 과수원뮤직컬컴퍼니",1,49.5,관람권
e_e000293,2305280009,2,0,1,이마트24,1,2.0,펩시콜라제로
e_e000294,2305190002,1,0,2,정안(상)휴게소,1,4.8,알밤크림도넛
e_e000294,2305190002,2,1,2,정안휴게소 농구게임,3,1.0,
e_e000294,2305190003,1,0,2,한화호텔앤드리조트(주),1,84.2,채끝등심스테이크;비프콜드누들샐러드;트러플치킨크림리조트;라임모히또
e_e000294,2305190003,3,1,2,용인베잔송,1,12.0,
e_e000294,2305200001,1,0,2,타운즈마켓,1,32.1,
e_e000294,2305200001,1,0,2,삼성물산(주) 에버랜드리조트,1,0.0,"코카콜라,잔;가츠동(돈가스덮밥);아보카도명란덮밥"
e_e000294,2305200001,2,1,2,삼성물산(주) 에버랜드리조트,1,16.0,"판다,풋사과속,봉제키홀더;쿼카,원형왕부채"
e_e000294,2305200001,3,2,2,삼성물산(주)에버랜드리조트,1,59.5,교복대여;가방대여;속바지;기타소품
e_e000294,2305200001,1,5,2,삼성물산(주) 에버랜드리조트,1,5.5,(코)ICE 아메리카노
e_e000294,2305200001,1,6,2,스타벅스,1,5.0,I-G)아메리카노
e_e000294,2305200001,1,7,2,삼성물산(주) 에버랜드리조트,1,40.2,"양고기콤보;코리안그릴드치킨;뢰스티;코카콜라,PET"
e_e000294,2305200001,3,9,2,삼성물산(주) 에버랜드리조트,1,68.0,입장권
e_e000294,2305200001,2,11,2,삼성물산(주) 에버랜드리조트,1,58.0,"판다,이지웨어세트"
e_e000296,2305230003,1,0,1,백년교동짬뽕,1,9.0,
e_e000296,2305230004,1,0,1,플링크,1,11.6,아메리카노-ICED;솔티 휘낭시에;까눌레
e_e000296,2305230005,1,0,1,(주)오리지널팬케이크 잠실,1,46.0,이탈리언 오믈렛;블루베리 와플;드립커피 ICED
e_e000296,2305240001,1,0,1,런던베이글뮤지엄,1,19.0,SPRING ONION PRE;POTATO CHEESE BAG;(ICE)AMERICANO
e_e000296,2305240002,1,0,1,호남식당,1,10.0,
e_e000296,2305240003,1,0,1,컴포즈커피,1,1.5,아메리카노(ICE)
e_e000296,2305240005,1,0,1,보슬보슬 ,1,9.5,
e_e000299,2305270004,1,0,1,버거킹,1,6.7,더블오리지널치즈버거 세트
e_e000299,2305270005,3,0,1,(주)카카오,1,33.0,에드워드 호퍼:길 위에서
e_e000299,2305270006,1,1,1,정동 그집,1,3.5,
e_e000299,2305270007,1,0,1,용호동낙지,1,20.0,
e_e000299,2305280003,1,0,1,다락,1,2.0,탄산수레몬 
e_e000299,2305280004,1,0,1,행복전집 북창점,1,70.0,
e_e000299,2305280005,1,0,1,더블린브루어리 시청시그니처점,1,83.9,
e_e000299,2305280005,1,0,1,더블린브루어리 시청시그니처점,1,38.3,스텔라;구스 IPA;312어반 위트에일
e_e000301,2305190003,1,0,2,북촌손만두,5,15.5,
e_e000301,2305200003,1,0,2,프랭크버거 교대점,1,12.6,프랭크버거세트;SG크림치즈버거
e_e000302,2305190002,3,1,1,엔스프렌들리,1,20.0,감성기본(여성)
e_e000302,2305190003,1,0,1,(주)호텔롯데 롯데월드,1,9.2,아이스아메리카노;웰빙닭꼬치
e_e000302,2305190003,1,0,1,(주)호텔롯데 롯데월드,1,30.5,로티로리빠네파스타;잭다니엘본리스윙2;콜라
e_e000302,2305190003,1,0,1,(주)호텔롯데 롯데월드,1,4.0,츄러스_N
e_e000302,2305190003,3,1,1,롯데월드 어드벤처,1,31.0,
e_e000302,2305190005,6,2,1,감성교복,1,10.0,
e_e000302,2305200001,1,0,1,페어링룸,1,123.0,
e_e000302,2305200003,1,0,1,런던베이글뮤지엄,1,13.2,
e_e000302,2305200006,1,0,1,체크인,1,171.0,참이슬;테라;매화수;룸이용료;알탕
e_e000302,2305210001,1,0,1,더블해피니스,1,34.3,더블해피 로 메인;마파두부덮밥;스몰 오렌지 치킨
e_e000302,2305210002,2,0,1,주식회사 룩캐스트,1,28.1,
e_e000302,2305210003,1,0,1,유즈풀 아뜰리에,1,10.0,
e_e000302,2305210006,1,0,1,Bd버거 성수,1,16.9,
e_e000307,2305210003,1,0,1,황해냉면,1,15.0,
e_e000307,2305210004,1,0,1,연천회관카페,1,5.8,연천커피
e_e000307,2305210007,1,0,1,크리미에,1,17.0,
e_e000311,2305270003,1,0,3,주)에스와이에스컴퍼니 카페건,1,22.3,아메리카노;카페라떼;크루아상;레몬케이크
e_e000311,2305270004,3,0,3,슈퍼키즈스카이방방 하늘도시점,1,12.0,입장권
e_e000311,2305270005,1,0,3,봄이보리밥,1,37.5,
e_e000317,2305270008,1,0,1,따봉하우스,3,15.0,
e_e000317,2305270010,1,1,1,인쌩맥주,1,29.6,
e_e000317,2305280003,1,0,1,스타벅스,3,20.2,T)바닐라푸딩B;I-T)DCF아메리카노;베이컨치즈토스트;트러플머쉬룸수프
e_e000317,2305280006,3,0,1,Cgv영등포점,3,16.0,
e_e000317,2305280007,1,0,1,스시로,1,28.8,
e_e000317,2305290003,1,0,1,베이커리 오월의종,1,8.0,후가스;예삐
e_e000317,2305290004,1,0,1,(주)삼천리이엔지 호우섬,1,20.1,호우섬
e_e000319,2306010007,1,1,1,낙원타코,1,71.9,생맥주;커플세트
e_e000319,2306010008,1,0,1,더블린브루어리,1,26.2,
e_e000322,2306060004,1,0,1,만원족발,1,11.0,
e_e000323,2305270002,1,0,2,이나경송탄 부대찌개,1,26.0,
e_e000323,2305270004,1,0,2,르빵드파리앤브런치하우스,1,22.2,롱블랙;옥수수데니쉬;베이컨감자파이
e_e000323,2305270005,3,0,2,수원문화재단,1,3.0,화성행궁 입장권
e_e000323,2305270006,1,0,2,평지담,1,14.0,
e_e000323,2305270008,1,0,2,진미통닭,1,23.5,
e_e000323,2305270009,1,1,2,세븐일레븐,1,3.7,LG)바디피트귀애랑울날중4;솔표)위청수골드액;농심)츄파춥스
e_e000323,2305280001,1,0,2,주식회사 유치회관,1,49.0,
e_e000329,2305260003,1,0,2,똘이장군돼지부속,1,77.0,한대접;뽈살;덜미살;소주;맥주;덜미살 반대접;파추가
e_e000329,2305260004,1,0,2,인쌩맥주 파주야당점,1,49.7,처음처럼;테라;파인애플샤베트;마약소세지
e_e000329,2305260005,1,0,2,탐라포차 야당점,1,34.0,테라;처음처럼;달걀말이
e_e000329,2305260005,1,1,2,CU,1,1.8,하늘보리
e_e000329,2305270001,3,0,2,롯데시네마 파주운정,1,11.0,
e_e000329,2305270001,1,2,2,롯데 시네마,1,13.5,스낵콤보
e_e000329,2305270002,1,0,2,산들마당 솥뚜껑삼겹살,1,37.0,삼겹살;맥주
e_e000329,2305270003,6,0,2,보스포차,1,7.5,
e_e000329,2305280002,2,1,2,(주)류재은베이커리 행복점,1,31.0,마늘빵;딸기푸딩;블루베리식빵;아이스아메리카노;종이봉투
e_e000329,2305280003,1,0,2,송우현의파주국물없는우동,1,31.5,
e_e000329,2305280005,2,0,2,파주 프리미엄 아울렛,1,22.02,듀벨
e_e000329,2305280005,2,1,2,파주프리미엄아울렛,1,221.04,Ray ban
e_e000331,2305280003,2,0,1,(주)커피빈코리아,1,7.8,(R)바닐라빈크림
e_e000331,2305280004,1,0,1,남산편백집,1,37.8,쇠고기샤브샤브;물냉면
e_e000331,2305280005,3,2,1,CGV용산아이파크몰,1,20.0,
e_e000331,2305280005,1,3,1,CGV용산아이파크몰,1,11.0,
e_e000331,2305290001,3,2,1,(주)티몬,1,38.0,"(단하루)잠실 롯데월드 어드벤처 종합이용권 특가,15%할인쿠폰 적용 필수(구매1개)"
e_e000331,2305290001,1,5,1,잠실롯데월드,1,117.8,
e_e000331,2305290001,6,6,1,롯데월드,1,20.0,인생네컷
e_e000331,2305290003,3,0,1,홈즈앤루팡 홍대점,1,28.5,
e_e000331,2305300001,1,0,1,김포공항 국내선 내 카페,1,6.5,
e_e000332,2305190002,1,3,2,아방궁,1,16.5,
e_e000332,2305190003,1,1,2,총무네포차,3,26.0,
e_e000332,2305190004,1,0,2,만선호프2,1,29.5,
e_e000332,2305200001,1,0,2,스시세츠나,1,143.0,
e_e000334,2305280003,1,2,2,오랑주리,1,22.0,딸기라떼;딸기요거트스무디
e_e000334,2305280004,1,0,2,해물천하조개구이 본점,1,64.5,조개구이;새로;라벨5 피치
e_e000334,2305280005,2,0,2,히카리,1,10.0,
e_e000334,2305280005,3,3,2,(주)푸른숲이엔티,1,3.0,주차비
e_e000334,2305290002,1,0,2,(주)홍이푸드,1,27.0,
e_e000334,2305290003,1,0,2,브루다 양주,1,30.4,피칸 블루베리 스콘;플레인 소금빵;뽀드득롱소세지빵;C-바닐라 라떼;레몬 에이드
e_e000336,2305270003,3,0,3,,3,51.2,(서울 영등포)아쿠아플라넷 63 이용권
e_e000336,2305270003,1,2,3,플레이보6,1,20.8,마늘돼지불고기와쌈채소반상;된장찌개와비빔밥반상;공기밥추가(찬장)
e_e000336,2305280002,2,0,3,더현대 서울,1,58.2,캐리마켓
e_e000336,2305280003,1,1,3,(주)이랜드파크켄싱턴여의도,1,29.9,새우볶음밥
e_e000338,2305190005,1,0,1,CHAMP COFFEE,1,4.5,오늘의커피 ICE
